group,sample,source_folder,source_image,source_coefficients,nonzero_zernike_j
first_10_zernike,sample_01_j02_tilt_x,full_zernike_20260707_225132_begin,measurement_camera1.png,true_zernike_phase_coeffs1.csv,2
first_10_zernike,sample_02_j03_tilt_y,full_zernike_20260707_225154,measurement_camera.png,true_zernike_phase_coeffs.csv,3
first_10_zernike,sample_03_j04_defocus,full_zernike_20260707_225212,measurement_camera.png,true_zernike_phase_coeffs.csv,4
first_10_zernike,sample_04_j05_astig_45,full_zernike_20260707_225247,measurement_camera.png,true_zernike_phase_coeffs.csv,5
first_10_zernike,sample_05_j06_astig_0,full_zernike_20260707_225305,measurement_camera.png,true_zernike_phase_coeffs.csv,6
first_10_zernike,sample_06_j07_coma_y,full_zernike_20260707_225327,measurement_camera.png,true_zernike_phase_coeffs.csv,7
first_10_zernike,sample_07_j08_coma_x,full_zernike_20260707_225417,measurement_camera.png,true_zernike_phase_coeffs.csv,8
first_10_zernike,sample_08_j09_trefoil_y,full_zernike_20260707_225433,measurement_camera.png,true_zernike_phase_coeffs.csv,9
first_10_zernike,sample_09_j10_trefoil_x,full_zernike_20260707_225455,measurement_camera.png,true_zernike_phase_coeffs.csv,10
first_10_zernike,sample_10_j11_spherical,full_zernike_20260707_225519,measurement_camera.png,true_zernike_phase_coeffs.csv,11
