group,sample,source_folder,source_image,source_coefficients,nonzero_zernike_j
first_10_zernike,sample_01_j02_tilt_x,full_zernike_20260707_225132_begin,measurement_camera1.png,true_zernike_phase_coeffs1.csv,2
first_10_zernike,sample_02_j03_tilt_y,full_zernike_20260707_225154,measurement_camera.png,true_zernike_phase_coeffs.csv,3
first_10_zernike,sample_03_j04_defocus,full_zernike_20260707_225212,measurement_camera.png,true_zernike_phase_coeffs.csv,4
first_10_zernike,sample_04_j05_astig_45,full_zernike_20260707_225247,measurement_camera.png,true_zernike_phase_coeffs.csv,5
first_10_zernike,sample_05_j06_astig_0,full_zernike_20260707_225305,measurement_camera.png,true_zernike_phase_coeffs.csv,6
first_10_zernike,sample_06_j07_coma_y,full_zernike_20260707_225327,measurement_camera.png,true_zernike_phase_coeffs.csv,7
first_10_zernike,sample_07_j08_coma_x,full_zernike_20260707_225417,measurement_camera.png,true_zernike_phase_coeffs.csv,8
first_10_zernike,sample_08_j09_trefoil_y,full_zernike_20260707_225433,measurement_camera.png,true_zernike_phase_coeffs.csv,9
first_10_zernike,sample_09_j10_trefoil_x,full_zernike_20260707_225455,measurement_camera.png,true_zernike_phase_coeffs.csv,10
first_10_zernike,sample_10_j11_spherical,full_zernike_20260707_225519,measurement_camera.png,true_zernike_phase_coeffs.csv,11
last_10_zernike,sample_01_j12_secondary_astig_45,full_zernike_20260707_225545,measurement_camera.png,true_zernike_phase_coeffs.csv,12
last_10_zernike,sample_02_j13_secondary_astig_0,full_zernike_20260707_225607,measurement_camera.png,true_zernike_phase_coeffs.csv,13
last_10_zernike,sample_03_j15_quadrafoil_0,full_zernike_20260707_225624,measurement_camera.png,true_zernike_phase_coeffs.csv,15
last_10_zernike,sample_04_j17_secondary_coma_x,full_zernike_20260707_225640,measurement_camera.png,true_zernike_phase_coeffs.csv,17
last_10_zernike,sample_05_j19_secondary_trefoil_x,full_zernike_20260707_225655,measurement_camera.png,true_zernike_phase_coeffs.csv,19
last_10_zernike,sample_06_j21_pentafoil_x,full_zernike_20260707_225711,measurement_camera.png,true_zernike_phase_coeffs.csv,21
mixed_zernike,sample_01_j03+j07+j10,full_zernike_20260707_225911,measurement_camera.png,true_zernike_phase_coeffs.csv,3 7 10
mixed_zernike,sample_02_j03+j07+j10+j15,full_zernike_20260707_225935,measurement_camera.png,true_zernike_phase_coeffs.csv,3 7 10 15
mixed_zernike,sample_03_j03+j07+j10+j15+j19,full_zernike_20260707_225958,measurement_camera.png,true_zernike_phase_coeffs.csv,3 7 10 15 19
mixed_zernike,sample_04_j03+j07+j08+j10+j15+j19,full_zernike_20260707_230024,measurement_camera.png,true_zernike_phase_coeffs.csv,3 7 8 10 15 19
mixed_zernike,sample_05_j03+j05+j07+j08+j10+j15+j19,full_zernike_20260707_230047,measurement_camera.png,true_zernike_phase_coeffs.csv,3 5 7 8 10 15 19
mixed_zernike,sample_06_j03+j05+j07+j08+j10+j12+j15+j19,full_zernike_20260707_230117,measurement_camera.png,true_zernike_phase_coeffs.csv,3 5 7 8 10 12 15 19
mixed_zernike,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,full_zernike_20260707_230159,measurement_camera.png,true_zernike_phase_coeffs.csv,3 5 7 8 10 12 15 17 19
mixed_zernike,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,full_zernike_20260707_230248,measurement_camera.png,true_zernike_phase_coeffs.csv,3 5 7 8 10 12 15 17 19 21
mixed_zernike,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,full_zernike_20260707_230346_end,measurement_camera.png,true_zernike_phase_coeffs.csv,3 5 7 8 10 12 13 15 17 19 21
