zernike_j,n,m,name,true_phase_coeff_rad,true_equiv_surface_coeff_nm
2,1,1,tilt_x,0.0,0.0
3,1,-1,tilt_y,8.0,404.25355545341415
4,2,0,defocus,0.0,0.0
5,2,-2,astig_45,4.0,202.12677772670708
6,2,2,astig_0,0.0,0.0
7,3,-1,coma_y,6.0,303.19016659006064
8,3,1,coma_x,12.0,606.3803331801213
9,3,-3,trefoil_y,0.0,0.0
10,3,3,trefoil_x,10.0,505.3169443167677
11,4,0,spherical,0.0,0.0
12,4,-2,secondary_astig_45,9.0,454.78524988509093
13,4,2,secondary_astig_0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0
15,4,4,quadrafoil_0,5.0,252.65847215838386
16,5,-1,secondary_coma_y,0.0,0.0
17,5,1,secondary_coma_x,7.0,353.7218610217374
18,5,-3,secondary_trefoil_y,0.0,0.0
19,5,3,secondary_trefoil_x,4.0,202.12677772670708
20,5,-5,pentafoil_y,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0
