sample,zernike_j,n,m,name,coeff_rad
sample_01_j02_tilt_x,2,1,1,tilt_x,6.153204767171614
sample_01_j02_tilt_x,3,1,-1,tilt_y,-0.7207278954713559
sample_01_j02_tilt_x,4,2,0,defocus,0.030959570243600174
sample_01_j02_tilt_x,5,2,-2,astig_45,-0.01171405222989951
sample_01_j02_tilt_x,6,2,2,astig_0,0.0
sample_01_j02_tilt_x,7,3,-1,coma_y,0.0
sample_01_j02_tilt_x,8,3,1,coma_x,0.02638960933904555
sample_01_j02_tilt_x,9,3,-3,trefoil_y,0.0
sample_01_j02_tilt_x,10,3,3,trefoil_x,0.0
sample_01_j02_tilt_x,11,4,0,spherical,0.057861359249711336
sample_01_j02_tilt_x,12,4,-2,secondary_astig_45,-0.04039184463765529
sample_01_j02_tilt_x,13,4,2,secondary_astig_0,0.12242684299681292
sample_01_j02_tilt_x,14,4,-4,quadrafoil_45,0.0
sample_01_j02_tilt_x,15,4,4,quadrafoil_0,0.010502083118801261
sample_01_j02_tilt_x,16,5,-1,secondary_coma_y,0.0
sample_01_j02_tilt_x,17,5,1,secondary_coma_x,-0.16242603490379418
sample_01_j02_tilt_x,18,5,-3,secondary_trefoil_y,0.0
sample_01_j02_tilt_x,19,5,3,secondary_trefoil_x,0.06435688053907325
sample_01_j02_tilt_x,20,5,-5,pentafoil_y,0.0
sample_01_j02_tilt_x,21,5,5,pentafoil_x,0.0
