zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,10.0,6.153204767171614,-3.846795232828386
3,1,-1,tilt_y,0.0,-0.7207278954713559,-0.7207278954713559
4,2,0,defocus,0.0,0.030959570243600174,0.030959570243600174
5,2,-2,astig_45,0.0,-0.01171405222989951,-0.01171405222989951
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.02638960933904555,0.02638960933904555
9,3,-3,trefoil_y,0.0,0.0,0.0
10,3,3,trefoil_x,0.0,0.0,0.0
11,4,0,spherical,0.0,0.057861359249711336,0.057861359249711336
12,4,-2,secondary_astig_45,0.0,-0.04039184463765529,-0.04039184463765529
13,4,2,secondary_astig_0,0.0,0.12242684299681292,0.12242684299681292
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.010502083118801261,0.010502083118801261
16,5,-1,secondary_coma_y,0.0,0.0,0.0
17,5,1,secondary_coma_x,0.0,-0.16242603490379418,-0.16242603490379418
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,0.0,0.06435688053907325,0.06435688053907325
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
