zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,-1.1649962893280592,-1.1649962893280592
3,1,-1,tilt_y,10.0,6.460746487200811,-3.5392535127991893
4,2,0,defocus,0.0,-0.010380513825202997,-0.010380513825202997
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,-0.04150144082192658,-0.04150144082192658
8,3,1,coma_x,0.0,0.0,0.0
9,3,-3,trefoil_y,0.0,0.08774133691359458,0.08774133691359458
10,3,3,trefoil_x,0.0,0.0,0.0
11,4,0,spherical,0.0,0.012846544908053311,0.012846544908053311
12,4,-2,secondary_astig_45,0.0,-0.039653634986057826,-0.039653634986057826
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,-0.08964078476618587,-0.08964078476618587
17,5,1,secondary_coma_x,0.0,0.0,0.0
18,5,-3,secondary_trefoil_y,0.0,-0.10518592241292253,-0.10518592241292253
19,5,3,secondary_trefoil_x,0.0,0.0,0.0
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
