sample,zernike_j,n,m,name,coeff_rad
sample_02_j03_tilt_y,2,1,1,tilt_x,-1.1649962893280592
sample_02_j03_tilt_y,3,1,-1,tilt_y,6.460746487200811
sample_02_j03_tilt_y,4,2,0,defocus,-0.010380513825202997
sample_02_j03_tilt_y,5,2,-2,astig_45,0.0
sample_02_j03_tilt_y,6,2,2,astig_0,0.0
sample_02_j03_tilt_y,7,3,-1,coma_y,-0.04150144082192658
sample_02_j03_tilt_y,8,3,1,coma_x,0.0
sample_02_j03_tilt_y,9,3,-3,trefoil_y,0.08774133691359458
sample_02_j03_tilt_y,10,3,3,trefoil_x,0.0
sample_02_j03_tilt_y,11,4,0,spherical,0.012846544908053311
sample_02_j03_tilt_y,12,4,-2,secondary_astig_45,-0.039653634986057826
sample_02_j03_tilt_y,13,4,2,secondary_astig_0,0.0
sample_02_j03_tilt_y,14,4,-4,quadrafoil_45,0.0
sample_02_j03_tilt_y,15,4,4,quadrafoil_0,0.0
sample_02_j03_tilt_y,16,5,-1,secondary_coma_y,-0.08964078476618587
sample_02_j03_tilt_y,17,5,1,secondary_coma_x,0.0
sample_02_j03_tilt_y,18,5,-3,secondary_trefoil_y,-0.10518592241292253
sample_02_j03_tilt_y,19,5,3,secondary_trefoil_x,0.0
sample_02_j03_tilt_y,20,5,-5,pentafoil_y,0.0
sample_02_j03_tilt_y,21,5,5,pentafoil_x,0.0
