sample,zernike_j,n,m,name,coeff_rad
sample_03_j04_defocus,2,1,1,tilt_x,0.0
sample_03_j04_defocus,3,1,-1,tilt_y,0.0
sample_03_j04_defocus,4,2,0,defocus,7.439309158895219
sample_03_j04_defocus,5,2,-2,astig_45,0.0
sample_03_j04_defocus,6,2,2,astig_0,0.0
sample_03_j04_defocus,7,3,-1,coma_y,0.0
sample_03_j04_defocus,8,3,1,coma_x,0.05456168625421025
sample_03_j04_defocus,9,3,-3,trefoil_y,0.0
sample_03_j04_defocus,10,3,3,trefoil_x,0.0
sample_03_j04_defocus,11,4,0,spherical,0.11211181519974774
sample_03_j04_defocus,12,4,-2,secondary_astig_45,0.0
sample_03_j04_defocus,13,4,2,secondary_astig_0,0.0
sample_03_j04_defocus,14,4,-4,quadrafoil_45,0.0
sample_03_j04_defocus,15,4,4,quadrafoil_0,0.0
sample_03_j04_defocus,16,5,-1,secondary_coma_y,0.0
sample_03_j04_defocus,17,5,1,secondary_coma_x,0.0
sample_03_j04_defocus,18,5,-3,secondary_trefoil_y,0.0
sample_03_j04_defocus,19,5,3,secondary_trefoil_x,0.0
sample_03_j04_defocus,20,5,-5,pentafoil_y,0.0
sample_03_j04_defocus,21,5,5,pentafoil_x,0.0
