sample,zernike_j,n,m,name,coeff_rad
sample_04_j05_astig_45,2,1,1,tilt_x,-0.7708313280052297
sample_04_j05_astig_45,3,1,-1,tilt_y,0.029222810210191633
sample_04_j05_astig_45,4,2,0,defocus,0.0
sample_04_j05_astig_45,5,2,-2,astig_45,7.347723332579794
sample_04_j05_astig_45,6,2,2,astig_0,-0.3387633311611128
sample_04_j05_astig_45,7,3,-1,coma_y,0.0
sample_04_j05_astig_45,8,3,1,coma_x,0.0
sample_04_j05_astig_45,9,3,-3,trefoil_y,0.0
sample_04_j05_astig_45,10,3,3,trefoil_x,0.0
sample_04_j05_astig_45,11,4,0,spherical,0.10281362173964705
sample_04_j05_astig_45,12,4,-2,secondary_astig_45,-0.11183368018844254
sample_04_j05_astig_45,13,4,2,secondary_astig_0,0.0
sample_04_j05_astig_45,14,4,-4,quadrafoil_45,0.0
sample_04_j05_astig_45,15,4,4,quadrafoil_0,-0.02229878102157128
sample_04_j05_astig_45,16,5,-1,secondary_coma_y,0.0
sample_04_j05_astig_45,17,5,1,secondary_coma_x,0.0
sample_04_j05_astig_45,18,5,-3,secondary_trefoil_y,0.0
sample_04_j05_astig_45,19,5,3,secondary_trefoil_x,0.022757042068554754
sample_04_j05_astig_45,20,5,-5,pentafoil_y,0.0
sample_04_j05_astig_45,21,5,5,pentafoil_x,0.0
