zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,-0.5539272413736762,-0.5539272413736762
3,1,-1,tilt_y,0.0,0.26416015084296607,0.26416015084296607
4,2,0,defocus,0.0,0.07710911669862079,0.07710911669862079
5,2,-2,astig_45,0.0,0.28848619960219124,0.28848619960219124
6,2,2,astig_0,10.0,7.222559224245918,-2.7774407757540818
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.07965873122749391,0.07965873122749391
9,3,-3,trefoil_y,0.0,0.001199130440391171,0.001199130440391171
10,3,3,trefoil_x,0.0,0.023479170878889184,0.023479170878889184
11,4,0,spherical,0.0,0.05662108495674595,0.05662108495674595
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,0.0164899004352152,0.0164899004352152
17,5,1,secondary_coma_x,0.0,0.03259268089454982,0.03259268089454982
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,0.0,0.0509753167714104,0.0509753167714104
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.11314766750181202,0.11314766750181202
