sample,zernike_j,n,m,name,coeff_rad
sample_06_j07_coma_y,2,1,1,tilt_x,-0.41417320380207806
sample_06_j07_coma_y,3,1,-1,tilt_y,0.245157236754161
sample_06_j07_coma_y,4,2,0,defocus,0.07556782221069187
sample_06_j07_coma_y,5,2,-2,astig_45,0.0
sample_06_j07_coma_y,6,2,2,astig_0,0.0
sample_06_j07_coma_y,7,3,-1,coma_y,7.421846475852301
sample_06_j07_coma_y,8,3,1,coma_x,-0.10426124453918213
sample_06_j07_coma_y,9,3,-3,trefoil_y,0.3323537860853982
sample_06_j07_coma_y,10,3,3,trefoil_x,0.0
sample_06_j07_coma_y,11,4,0,spherical,0.09776370651508305
sample_06_j07_coma_y,12,4,-2,secondary_astig_45,0.0
sample_06_j07_coma_y,13,4,2,secondary_astig_0,0.0
sample_06_j07_coma_y,14,4,-4,quadrafoil_45,0.0
sample_06_j07_coma_y,15,4,4,quadrafoil_0,0.0
sample_06_j07_coma_y,16,5,-1,secondary_coma_y,0.007452798161355655
sample_06_j07_coma_y,17,5,1,secondary_coma_x,0.0
sample_06_j07_coma_y,18,5,-3,secondary_trefoil_y,0.0
sample_06_j07_coma_y,19,5,3,secondary_trefoil_x,0.01790792273260018
sample_06_j07_coma_y,20,5,-5,pentafoil_y,0.0
sample_06_j07_coma_y,21,5,5,pentafoil_x,0.0
