sample,zernike_j,n,m,name,coeff_rad
sample_08_j09_trefoil_y,2,1,1,tilt_x,-0.3872355984244667
sample_08_j09_trefoil_y,3,1,-1,tilt_y,1.3456535441044783
sample_08_j09_trefoil_y,4,2,0,defocus,0.0
sample_08_j09_trefoil_y,5,2,-2,astig_45,0.0
sample_08_j09_trefoil_y,6,2,2,astig_0,0.0
sample_08_j09_trefoil_y,7,3,-1,coma_y,0.0
sample_08_j09_trefoil_y,8,3,1,coma_x,0.0
sample_08_j09_trefoil_y,9,3,-3,trefoil_y,7.621794773729768
sample_08_j09_trefoil_y,10,3,3,trefoil_x,-0.5887129225523973
sample_08_j09_trefoil_y,11,4,0,spherical,0.06733571324620077
sample_08_j09_trefoil_y,12,4,-2,secondary_astig_45,0.0
sample_08_j09_trefoil_y,13,4,2,secondary_astig_0,0.0
sample_08_j09_trefoil_y,14,4,-4,quadrafoil_45,0.0
sample_08_j09_trefoil_y,15,4,4,quadrafoil_0,0.0
sample_08_j09_trefoil_y,16,5,-1,secondary_coma_y,-0.09278081576934841
sample_08_j09_trefoil_y,17,5,1,secondary_coma_x,0.01914447927849925
sample_08_j09_trefoil_y,18,5,-3,secondary_trefoil_y,0.04201988871494702
sample_08_j09_trefoil_y,19,5,3,secondary_trefoil_x,0.0
sample_08_j09_trefoil_y,20,5,-5,pentafoil_y,0.0
sample_08_j09_trefoil_y,21,5,5,pentafoil_x,0.0
