sample,zernike_j,n,m,name,coeff_rad
sample_09_j10_trefoil_x,2,1,1,tilt_x,-0.13081396630199607
sample_09_j10_trefoil_x,3,1,-1,tilt_y,1.4322588877623337
sample_09_j10_trefoil_x,4,2,0,defocus,0.045187077921029474
sample_09_j10_trefoil_x,5,2,-2,astig_45,0.0
sample_09_j10_trefoil_x,6,2,2,astig_0,0.0
sample_09_j10_trefoil_x,7,3,-1,coma_y,0.0
sample_09_j10_trefoil_x,8,3,1,coma_x,0.16396473328215083
sample_09_j10_trefoil_x,9,3,-3,trefoil_y,0.5944025694224955
sample_09_j10_trefoil_x,10,3,3,trefoil_x,7.349479417940502
sample_09_j10_trefoil_x,11,4,0,spherical,0.1343590134813188
sample_09_j10_trefoil_x,12,4,-2,secondary_astig_45,0.0
sample_09_j10_trefoil_x,13,4,2,secondary_astig_0,0.0
sample_09_j10_trefoil_x,14,4,-4,quadrafoil_45,0.0
sample_09_j10_trefoil_x,15,4,4,quadrafoil_0,0.0
sample_09_j10_trefoil_x,16,5,-1,secondary_coma_y,0.007175875626380661
sample_09_j10_trefoil_x,17,5,1,secondary_coma_x,0.13301482226384698
sample_09_j10_trefoil_x,18,5,-3,secondary_trefoil_y,0.0
sample_09_j10_trefoil_x,19,5,3,secondary_trefoil_x,0.0
sample_09_j10_trefoil_x,20,5,-5,pentafoil_y,0.0
sample_09_j10_trefoil_x,21,5,5,pentafoil_x,0.16951350865820342
