zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,-0.13081396630199607,-0.13081396630199607
3,1,-1,tilt_y,0.0,1.4322588877623337,1.4322588877623337
4,2,0,defocus,0.0,0.045187077921029474,0.045187077921029474
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.16396473328215083,0.16396473328215083
9,3,-3,trefoil_y,0.0,0.5944025694224955,0.5944025694224955
10,3,3,trefoil_x,10.0,7.349479417940502,-2.6505205820594977
11,4,0,spherical,0.0,0.1343590134813188,0.1343590134813188
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,0.007175875626380661,0.007175875626380661
17,5,1,secondary_coma_x,0.0,0.13301482226384698,0.13301482226384698
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,0.0,0.0,0.0
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.16951350865820342,0.16951350865820342
