sample,zernike_j,n,m,name,coeff_rad
sample_10_j11_spherical,2,1,1,tilt_x,0.0
sample_10_j11_spherical,3,1,-1,tilt_y,0.6991679086622711
sample_10_j11_spherical,4,2,0,defocus,0.7253110599434921
sample_10_j11_spherical,5,2,-2,astig_45,0.0
sample_10_j11_spherical,6,2,2,astig_0,0.0
sample_10_j11_spherical,7,3,-1,coma_y,0.0
sample_10_j11_spherical,8,3,1,coma_x,0.006356662617511
sample_10_j11_spherical,9,3,-3,trefoil_y,0.0
sample_10_j11_spherical,10,3,3,trefoil_x,0.0
sample_10_j11_spherical,11,4,0,spherical,8.00051908863283
sample_10_j11_spherical,12,4,-2,secondary_astig_45,0.0
sample_10_j11_spherical,13,4,2,secondary_astig_0,0.0
sample_10_j11_spherical,14,4,-4,quadrafoil_45,0.0
sample_10_j11_spherical,15,4,4,quadrafoil_0,0.0
sample_10_j11_spherical,16,5,-1,secondary_coma_y,0.0
sample_10_j11_spherical,17,5,1,secondary_coma_x,0.0
sample_10_j11_spherical,18,5,-3,secondary_trefoil_y,0.0
sample_10_j11_spherical,19,5,3,secondary_trefoil_x,0.0
sample_10_j11_spherical,20,5,-5,pentafoil_y,0.0
sample_10_j11_spherical,21,5,5,pentafoil_x,0.0
