zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
2,1,1,tilt_x,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
3,1,-1,tilt_y,0.0,1.06783144046589,1.06783144046589,sample_01_j12_secondary_astig_45
4,2,0,defocus,0.0,0.03722777464566232,0.03722777464566232,sample_01_j12_secondary_astig_45
5,2,-2,astig_45,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
6,2,2,astig_0,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
7,3,-1,coma_y,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
8,3,1,coma_x,0.0,0.001349950990973528,0.001349950990973528,sample_01_j12_secondary_astig_45
9,3,-3,trefoil_y,0.0,0.17840716881937713,0.17840716881937713,sample_01_j12_secondary_astig_45
10,3,3,trefoil_x,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
11,4,0,spherical,0.0,0.29215646732948,0.29215646732948,sample_01_j12_secondary_astig_45
12,4,-2,secondary_astig_45,10.0,7.6226265451488,-2.3773734548511998,sample_01_j12_secondary_astig_45
13,4,2,secondary_astig_0,0.0,-0.041594308711141004,-0.041594308711141004,sample_01_j12_secondary_astig_45
14,4,-4,quadrafoil_45,0.0,0.1962564301997065,0.1962564301997065,sample_01_j12_secondary_astig_45
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
17,5,1,secondary_coma_x,0.0,0.02069733974152918,0.02069733974152918,sample_01_j12_secondary_astig_45
18,5,-3,secondary_trefoil_y,0.0,0.37992898363828487,0.37992898363828487,sample_01_j12_secondary_astig_45
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_01_j12_secondary_astig_45
2,1,1,tilt_x,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
3,1,-1,tilt_y,0.0,1.5771359918897665,1.5771359918897665,sample_02_j13_secondary_astig_0
4,2,0,defocus,0.0,0.20517121034355956,0.20517121034355956,sample_02_j13_secondary_astig_0
5,2,-2,astig_45,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
6,2,2,astig_0,0.0,0.7397085411477476,0.7397085411477476,sample_02_j13_secondary_astig_0
7,3,-1,coma_y,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
8,3,1,coma_x,0.0,0.09985516666890432,0.09985516666890432,sample_02_j13_secondary_astig_0
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
10,3,3,trefoil_x,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
11,4,0,spherical,0.0,0.11375883053622313,0.11375883053622313,sample_02_j13_secondary_astig_0
12,4,-2,secondary_astig_45,0.0,0.3574063570755288,0.3574063570755288,sample_02_j13_secondary_astig_0
13,4,2,secondary_astig_0,10.0,7.991948588128517,-2.0080514118714827,sample_02_j13_secondary_astig_0
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_02_j13_secondary_astig_0
2,1,1,tilt_x,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
3,1,-1,tilt_y,0.0,1.971683770778866,1.971683770778866,sample_03_j15_quadrafoil_0
4,2,0,defocus,0.0,0.04334963517676723,0.04334963517676723,sample_03_j15_quadrafoil_0
5,2,-2,astig_45,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
6,2,2,astig_0,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
7,3,-1,coma_y,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
8,3,1,coma_x,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
10,3,3,trefoil_x,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
11,4,0,spherical,0.0,0.26283193812878447,0.26283193812878447,sample_03_j15_quadrafoil_0
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
14,4,-4,quadrafoil_45,0.0,0.638662114492944,0.638662114492944,sample_03_j15_quadrafoil_0
15,4,4,quadrafoil_0,10.0,7.444912596189621,-2.5550874038103792,sample_03_j15_quadrafoil_0
16,5,-1,secondary_coma_y,0.0,0.07977505245668162,0.07977505245668162,sample_03_j15_quadrafoil_0
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
18,5,-3,secondary_trefoil_y,0.0,0.014979914236855983,0.014979914236855983,sample_03_j15_quadrafoil_0
19,5,3,secondary_trefoil_x,0.0,-0.055184706092825477,-0.055184706092825477,sample_03_j15_quadrafoil_0
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_03_j15_quadrafoil_0
2,1,1,tilt_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
3,1,-1,tilt_y,0.0,1.3368265032659736,1.3368265032659736,sample_04_j17_secondary_coma_x
4,2,0,defocus,0.0,0.22750650452067728,0.22750650452067728,sample_04_j17_secondary_coma_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
6,2,2,astig_0,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
7,3,-1,coma_y,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
8,3,1,coma_x,0.0,0.9616602606246638,0.9616602606246638,sample_04_j17_secondary_coma_x
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
10,3,3,trefoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
11,4,0,spherical,0.0,0.32650760939075546,0.32650760939075546,sample_04_j17_secondary_coma_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
16,5,-1,secondary_coma_y,0.0,0.1480551448067125,0.1480551448067125,sample_04_j17_secondary_coma_x
17,5,1,secondary_coma_x,10.0,7.538043855765348,-2.4619561442346516,sample_04_j17_secondary_coma_x
18,5,-3,secondary_trefoil_y,0.0,0.08536702064516055,0.08536702064516055,sample_04_j17_secondary_coma_x
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
2,1,1,tilt_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
3,1,-1,tilt_y,0.0,1.7944214210099831,1.7944214210099831,sample_05_j19_secondary_trefoil_x
4,2,0,defocus,0.0,0.18996506509347427,0.18996506509347427,sample_05_j19_secondary_trefoil_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
6,2,2,astig_0,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
7,3,-1,coma_y,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
8,3,1,coma_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
10,3,3,trefoil_x,0.0,0.17042618631503906,0.17042618631503906,sample_05_j19_secondary_trefoil_x
11,4,0,spherical,0.0,0.24108216134835883,0.24108216134835883,sample_05_j19_secondary_trefoil_x
