sample,zernike_j,n,m,name,coeff_rad
sample_01_j12_secondary_astig_45,2,1,1,tilt_x,0.0
sample_01_j12_secondary_astig_45,3,1,-1,tilt_y,1.06783144046589
sample_01_j12_secondary_astig_45,4,2,0,defocus,0.03722777464566232
sample_01_j12_secondary_astig_45,5,2,-2,astig_45,0.0
sample_01_j12_secondary_astig_45,6,2,2,astig_0,0.0
sample_01_j12_secondary_astig_45,7,3,-1,coma_y,0.0
sample_01_j12_secondary_astig_45,8,3,1,coma_x,0.001349950990973528
sample_01_j12_secondary_astig_45,9,3,-3,trefoil_y,0.17840716881937713
sample_01_j12_secondary_astig_45,10,3,3,trefoil_x,0.0
sample_01_j12_secondary_astig_45,11,4,0,spherical,0.29215646732948
sample_01_j12_secondary_astig_45,12,4,-2,secondary_astig_45,7.6226265451488
sample_01_j12_secondary_astig_45,13,4,2,secondary_astig_0,-0.041594308711141004
sample_01_j12_secondary_astig_45,14,4,-4,quadrafoil_45,0.1962564301997065
sample_01_j12_secondary_astig_45,15,4,4,quadrafoil_0,0.0
sample_01_j12_secondary_astig_45,16,5,-1,secondary_coma_y,0.0
sample_01_j12_secondary_astig_45,17,5,1,secondary_coma_x,0.02069733974152918
sample_01_j12_secondary_astig_45,18,5,-3,secondary_trefoil_y,0.37992898363828487
sample_01_j12_secondary_astig_45,19,5,3,secondary_trefoil_x,0.0
sample_01_j12_secondary_astig_45,20,5,-5,pentafoil_y,0.0
sample_01_j12_secondary_astig_45,21,5,5,pentafoil_x,0.0
