sample,zernike_j,n,m,name,coeff_rad
sample_02_j13_secondary_astig_0,2,1,1,tilt_x,0.0
sample_02_j13_secondary_astig_0,3,1,-1,tilt_y,1.5771359918897665
sample_02_j13_secondary_astig_0,4,2,0,defocus,0.20517121034355956
sample_02_j13_secondary_astig_0,5,2,-2,astig_45,0.0
sample_02_j13_secondary_astig_0,6,2,2,astig_0,0.7397085411477476
sample_02_j13_secondary_astig_0,7,3,-1,coma_y,0.0
sample_02_j13_secondary_astig_0,8,3,1,coma_x,0.09985516666890432
sample_02_j13_secondary_astig_0,9,3,-3,trefoil_y,0.0
sample_02_j13_secondary_astig_0,10,3,3,trefoil_x,0.0
sample_02_j13_secondary_astig_0,11,4,0,spherical,0.11375883053622313
sample_02_j13_secondary_astig_0,12,4,-2,secondary_astig_45,0.3574063570755288
sample_02_j13_secondary_astig_0,13,4,2,secondary_astig_0,7.991948588128517
sample_02_j13_secondary_astig_0,14,4,-4,quadrafoil_45,0.0
sample_02_j13_secondary_astig_0,15,4,4,quadrafoil_0,0.0
sample_02_j13_secondary_astig_0,16,5,-1,secondary_coma_y,0.0
sample_02_j13_secondary_astig_0,17,5,1,secondary_coma_x,0.0
sample_02_j13_secondary_astig_0,18,5,-3,secondary_trefoil_y,0.0
sample_02_j13_secondary_astig_0,19,5,3,secondary_trefoil_x,0.0
sample_02_j13_secondary_astig_0,20,5,-5,pentafoil_y,0.0
sample_02_j13_secondary_astig_0,21,5,5,pentafoil_x,0.0
