zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.0,0.0
3,1,-1,tilt_y,0.0,1.971683770778866,1.971683770778866
4,2,0,defocus,0.0,0.04334963517676723,0.04334963517676723
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.0,0.0
9,3,-3,trefoil_y,0.0,0.0,0.0
10,3,3,trefoil_x,0.0,0.0,0.0
11,4,0,spherical,0.0,0.26283193812878447,0.26283193812878447
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.638662114492944,0.638662114492944
15,4,4,quadrafoil_0,10.0,7.444912596189621,-2.5550874038103792
16,5,-1,secondary_coma_y,0.0,0.07977505245668162,0.07977505245668162
17,5,1,secondary_coma_x,0.0,0.0,0.0
18,5,-3,secondary_trefoil_y,0.0,0.014979914236855983,0.014979914236855983
19,5,3,secondary_trefoil_x,0.0,-0.055184706092825477,-0.055184706092825477
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
