sample,zernike_j,n,m,name,coeff_rad
sample_03_j15_quadrafoil_0,2,1,1,tilt_x,0.0
sample_03_j15_quadrafoil_0,3,1,-1,tilt_y,1.971683770778866
sample_03_j15_quadrafoil_0,4,2,0,defocus,0.04334963517676723
sample_03_j15_quadrafoil_0,5,2,-2,astig_45,0.0
sample_03_j15_quadrafoil_0,6,2,2,astig_0,0.0
sample_03_j15_quadrafoil_0,7,3,-1,coma_y,0.0
sample_03_j15_quadrafoil_0,8,3,1,coma_x,0.0
sample_03_j15_quadrafoil_0,9,3,-3,trefoil_y,0.0
sample_03_j15_quadrafoil_0,10,3,3,trefoil_x,0.0
sample_03_j15_quadrafoil_0,11,4,0,spherical,0.26283193812878447
sample_03_j15_quadrafoil_0,12,4,-2,secondary_astig_45,0.0
sample_03_j15_quadrafoil_0,13,4,2,secondary_astig_0,0.0
sample_03_j15_quadrafoil_0,14,4,-4,quadrafoil_45,0.638662114492944
sample_03_j15_quadrafoil_0,15,4,4,quadrafoil_0,7.444912596189621
sample_03_j15_quadrafoil_0,16,5,-1,secondary_coma_y,0.07977505245668162
sample_03_j15_quadrafoil_0,17,5,1,secondary_coma_x,0.0
sample_03_j15_quadrafoil_0,18,5,-3,secondary_trefoil_y,0.014979914236855983
sample_03_j15_quadrafoil_0,19,5,3,secondary_trefoil_x,-0.055184706092825477
sample_03_j15_quadrafoil_0,20,5,-5,pentafoil_y,0.0
sample_03_j15_quadrafoil_0,21,5,5,pentafoil_x,0.0
