zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.0,0.0
3,1,-1,tilt_y,0.0,1.3368265032659736,1.3368265032659736
4,2,0,defocus,0.0,0.22750650452067728,0.22750650452067728
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.9616602606246638,0.9616602606246638
9,3,-3,trefoil_y,0.0,0.0,0.0
10,3,3,trefoil_x,0.0,0.0,0.0
11,4,0,spherical,0.0,0.32650760939075546,0.32650760939075546
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,0.1480551448067125,0.1480551448067125
17,5,1,secondary_coma_x,10.0,7.538043855765348,-2.4619561442346516
18,5,-3,secondary_trefoil_y,0.0,0.08536702064516055,0.08536702064516055
19,5,3,secondary_trefoil_x,0.0,0.0,0.0
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
