sample,zernike_j,n,m,name,coeff_rad
sample_04_j17_secondary_coma_x,2,1,1,tilt_x,0.0
sample_04_j17_secondary_coma_x,3,1,-1,tilt_y,1.3368265032659736
sample_04_j17_secondary_coma_x,4,2,0,defocus,0.22750650452067728
sample_04_j17_secondary_coma_x,5,2,-2,astig_45,0.0
sample_04_j17_secondary_coma_x,6,2,2,astig_0,0.0
sample_04_j17_secondary_coma_x,7,3,-1,coma_y,0.0
sample_04_j17_secondary_coma_x,8,3,1,coma_x,0.9616602606246638
sample_04_j17_secondary_coma_x,9,3,-3,trefoil_y,0.0
sample_04_j17_secondary_coma_x,10,3,3,trefoil_x,0.0
sample_04_j17_secondary_coma_x,11,4,0,spherical,0.32650760939075546
sample_04_j17_secondary_coma_x,12,4,-2,secondary_astig_45,0.0
sample_04_j17_secondary_coma_x,13,4,2,secondary_astig_0,0.0
sample_04_j17_secondary_coma_x,14,4,-4,quadrafoil_45,0.0
sample_04_j17_secondary_coma_x,15,4,4,quadrafoil_0,0.0
sample_04_j17_secondary_coma_x,16,5,-1,secondary_coma_y,0.1480551448067125
sample_04_j17_secondary_coma_x,17,5,1,secondary_coma_x,7.538043855765348
sample_04_j17_secondary_coma_x,18,5,-3,secondary_trefoil_y,0.08536702064516055
sample_04_j17_secondary_coma_x,19,5,3,secondary_trefoil_x,0.0
sample_04_j17_secondary_coma_x,20,5,-5,pentafoil_y,0.0
sample_04_j17_secondary_coma_x,21,5,5,pentafoil_x,0.0
