sample,zernike_j,n,m,name,coeff_rad
sample_05_j19_secondary_trefoil_x,2,1,1,tilt_x,0.0
sample_05_j19_secondary_trefoil_x,3,1,-1,tilt_y,1.7944214210099831
sample_05_j19_secondary_trefoil_x,4,2,0,defocus,0.18996506509347427
sample_05_j19_secondary_trefoil_x,5,2,-2,astig_45,0.0
sample_05_j19_secondary_trefoil_x,6,2,2,astig_0,0.0
sample_05_j19_secondary_trefoil_x,7,3,-1,coma_y,0.0
sample_05_j19_secondary_trefoil_x,8,3,1,coma_x,0.0
sample_05_j19_secondary_trefoil_x,9,3,-3,trefoil_y,0.0
sample_05_j19_secondary_trefoil_x,10,3,3,trefoil_x,0.17042618631503906
sample_05_j19_secondary_trefoil_x,11,4,0,spherical,0.24108216134835883
sample_05_j19_secondary_trefoil_x,12,4,-2,secondary_astig_45,0.0
sample_05_j19_secondary_trefoil_x,13,4,2,secondary_astig_0,0.0
sample_05_j19_secondary_trefoil_x,14,4,-4,quadrafoil_45,0.0
sample_05_j19_secondary_trefoil_x,15,4,4,quadrafoil_0,0.0
sample_05_j19_secondary_trefoil_x,16,5,-1,secondary_coma_y,0.0032073558004092548
sample_05_j19_secondary_trefoil_x,17,5,1,secondary_coma_x,0.0
sample_05_j19_secondary_trefoil_x,18,5,-3,secondary_trefoil_y,0.6250736860440211
sample_05_j19_secondary_trefoil_x,19,5,3,secondary_trefoil_x,7.33097075793225
sample_05_j19_secondary_trefoil_x,20,5,-5,pentafoil_y,0.0
sample_05_j19_secondary_trefoil_x,21,5,5,pentafoil_x,0.0
