zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.0,0.0
3,1,-1,tilt_y,0.0,1.7944214210099831,1.7944214210099831
4,2,0,defocus,0.0,0.18996506509347427,0.18996506509347427
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.0,0.0
9,3,-3,trefoil_y,0.0,0.0,0.0
10,3,3,trefoil_x,0.0,0.17042618631503906,0.17042618631503906
11,4,0,spherical,0.0,0.24108216134835883,0.24108216134835883
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,0.0032073558004092548,0.0032073558004092548
17,5,1,secondary_coma_x,0.0,0.0,0.0
18,5,-3,secondary_trefoil_y,0.0,0.6250736860440211,0.6250736860440211
19,5,3,secondary_trefoil_x,10.0,7.33097075793225,-2.66902924206775
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
