sample,zernike_j,n,m,name,coeff_rad
sample_06_j21_pentafoil_x,2,1,1,tilt_x,0.0
sample_06_j21_pentafoil_x,3,1,-1,tilt_y,1.8649400183389795
sample_06_j21_pentafoil_x,4,2,0,defocus,0.0
sample_06_j21_pentafoil_x,5,2,-2,astig_45,0.0
sample_06_j21_pentafoil_x,6,2,2,astig_0,0.0
sample_06_j21_pentafoil_x,7,3,-1,coma_y,0.0
sample_06_j21_pentafoil_x,8,3,1,coma_x,0.0
sample_06_j21_pentafoil_x,9,3,-3,trefoil_y,0.07598320308178907
sample_06_j21_pentafoil_x,10,3,3,trefoil_x,0.0031370605218789885
sample_06_j21_pentafoil_x,11,4,0,spherical,0.054435880975174725
sample_06_j21_pentafoil_x,12,4,-2,secondary_astig_45,0.0
sample_06_j21_pentafoil_x,13,4,2,secondary_astig_0,0.0
sample_06_j21_pentafoil_x,14,4,-4,quadrafoil_45,0.0
sample_06_j21_pentafoil_x,15,4,4,quadrafoil_0,0.0
sample_06_j21_pentafoil_x,16,5,-1,secondary_coma_y,0.0
sample_06_j21_pentafoil_x,17,5,1,secondary_coma_x,0.027826909600545426
sample_06_j21_pentafoil_x,18,5,-3,secondary_trefoil_y,0.0
sample_06_j21_pentafoil_x,19,5,3,secondary_trefoil_x,-0.012069357802152698
sample_06_j21_pentafoil_x,20,5,-5,pentafoil_y,0.8487597121928517
sample_06_j21_pentafoil_x,21,5,5,pentafoil_x,7.697748494786437
