zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
2,1,1,tilt_x,0.0,0.0,0.0,sample_01_j03+j07+j10
3,1,-1,tilt_y,8.0,7.886760979850236,-0.11323902014976372,sample_01_j03+j07+j10
4,2,0,defocus,0.0,0.10082888521138861,0.10082888521138861,sample_01_j03+j07+j10
5,2,-2,astig_45,0.0,0.0,0.0,sample_01_j03+j07+j10
6,2,2,astig_0,0.0,0.0,0.0,sample_01_j03+j07+j10
7,3,-1,coma_y,6.0,4.233515485201519,-1.7664845147984813,sample_01_j03+j07+j10
8,3,1,coma_x,0.0,0.0,0.0,sample_01_j03+j07+j10
9,3,-3,trefoil_y,0.0,0.9876904615961343,0.9876904615961343,sample_01_j03+j07+j10
10,3,3,trefoil_x,10.0,7.3152979184056734,-2.6847020815943266,sample_01_j03+j07+j10
11,4,0,spherical,0.0,0.24277694572003955,0.24277694572003955,sample_01_j03+j07+j10
12,4,-2,secondary_astig_45,0.0,-0.1617246507355026,-0.1617246507355026,sample_01_j03+j07+j10
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_01_j03+j07+j10
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_01_j03+j07+j10
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_01_j03+j07+j10
16,5,-1,secondary_coma_y,0.0,-0.06760884197450978,-0.06760884197450978,sample_01_j03+j07+j10
17,5,1,secondary_coma_x,0.0,0.00535856053675017,0.00535856053675017,sample_01_j03+j07+j10
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_01_j03+j07+j10
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_01_j03+j07+j10
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_01_j03+j07+j10
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_01_j03+j07+j10
2,1,1,tilt_x,0.0,0.053729518865899946,0.053729518865899946,sample_02_j03+j07+j10+j15
3,1,-1,tilt_y,8.0,7.850337904780608,-0.14966209521939167,sample_02_j03+j07+j10+j15
4,2,0,defocus,0.0,0.12687593648178638,0.12687593648178638,sample_02_j03+j07+j10+j15
5,2,-2,astig_45,0.0,0.0,0.0,sample_02_j03+j07+j10+j15
6,2,2,astig_0,0.0,0.0,0.0,sample_02_j03+j07+j10+j15
7,3,-1,coma_y,6.0,4.204767359354797,-1.795232640645203,sample_02_j03+j07+j10+j15
8,3,1,coma_x,0.0,0.08200484278808173,0.08200484278808173,sample_02_j03+j07+j10+j15
9,3,-3,trefoil_y,0.0,0.8903861926738611,0.8903861926738611,sample_02_j03+j07+j10+j15
10,3,3,trefoil_x,10.0,7.298055456265511,-2.7019445437344887,sample_02_j03+j07+j10+j15
11,4,0,spherical,0.0,0.33956567880960076,0.33956567880960076,sample_02_j03+j07+j10+j15
12,4,-2,secondary_astig_45,0.0,-0.18404467491415244,-0.18404467491415244,sample_02_j03+j07+j10+j15
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_02_j03+j07+j10+j15
14,4,-4,quadrafoil_45,0.0,0.21351236967752746,0.21351236967752746,sample_02_j03+j07+j10+j15
15,4,4,quadrafoil_0,5.0,3.665686611023618,-1.334313388976382,sample_02_j03+j07+j10+j15
16,5,-1,secondary_coma_y,0.0,-0.10803109549350301,-0.10803109549350301,sample_02_j03+j07+j10+j15
17,5,1,secondary_coma_x,0.0,0.12436482648751954,0.12436482648751954,sample_02_j03+j07+j10+j15
18,5,-3,secondary_trefoil_y,0.0,-0.10278340679832021,-0.10278340679832021,sample_02_j03+j07+j10+j15
19,5,3,secondary_trefoil_x,0.0,-0.0649135320632766,-0.0649135320632766,sample_02_j03+j07+j10+j15
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_02_j03+j07+j10+j15
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_02_j03+j07+j10+j15
2,1,1,tilt_x,0.0,0.10036324718846526,0.10036324718846526,sample_03_j03+j07+j10+j15+j19
3,1,-1,tilt_y,8.0,7.727303519673496,-0.27269648032650373,sample_03_j03+j07+j10+j15+j19
4,2,0,defocus,0.0,0.17667413887998729,0.17667413887998729,sample_03_j03+j07+j10+j15+j19
5,2,-2,astig_45,0.0,0.0,0.0,sample_03_j03+j07+j10+j15+j19
6,2,2,astig_0,0.0,0.0,0.0,sample_03_j03+j07+j10+j15+j19
7,3,-1,coma_y,6.0,4.177721045181867,-1.8222789548181328,sample_03_j03+j07+j10+j15+j19
