zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.0,0.0
3,1,-1,tilt_y,8.0,7.886760979850236,-0.11323902014976372
4,2,0,defocus,0.0,0.10082888521138861,0.10082888521138861
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,4.233515485201519,-1.7664845147984813
8,3,1,coma_x,0.0,0.0,0.0
9,3,-3,trefoil_y,0.0,0.9876904615961343,0.9876904615961343
10,3,3,trefoil_x,10.0,7.3152979184056734,-2.6847020815943266
11,4,0,spherical,0.0,0.24277694572003955,0.24277694572003955
12,4,-2,secondary_astig_45,0.0,-0.1617246507355026,-0.1617246507355026
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,-0.06760884197450978,-0.06760884197450978
17,5,1,secondary_coma_x,0.0,0.00535856053675017,0.00535856053675017
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,0.0,0.0,0.0
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
