sample,zernike_j,n,m,name,coeff_rad
sample_01_j03+j07+j10,2,1,1,tilt_x,0.0
sample_01_j03+j07+j10,3,1,-1,tilt_y,7.886760979850236
sample_01_j03+j07+j10,4,2,0,defocus,0.10082888521138861
sample_01_j03+j07+j10,5,2,-2,astig_45,0.0
sample_01_j03+j07+j10,6,2,2,astig_0,0.0
sample_01_j03+j07+j10,7,3,-1,coma_y,4.233515485201519
sample_01_j03+j07+j10,8,3,1,coma_x,0.0
sample_01_j03+j07+j10,9,3,-3,trefoil_y,0.9876904615961343
sample_01_j03+j07+j10,10,3,3,trefoil_x,7.3152979184056734
sample_01_j03+j07+j10,11,4,0,spherical,0.24277694572003955
sample_01_j03+j07+j10,12,4,-2,secondary_astig_45,-0.1617246507355026
sample_01_j03+j07+j10,13,4,2,secondary_astig_0,0.0
sample_01_j03+j07+j10,14,4,-4,quadrafoil_45,0.0
sample_01_j03+j07+j10,15,4,4,quadrafoil_0,0.0
sample_01_j03+j07+j10,16,5,-1,secondary_coma_y,-0.06760884197450978
sample_01_j03+j07+j10,17,5,1,secondary_coma_x,0.00535856053675017
sample_01_j03+j07+j10,18,5,-3,secondary_trefoil_y,0.0
sample_01_j03+j07+j10,19,5,3,secondary_trefoil_x,0.0
sample_01_j03+j07+j10,20,5,-5,pentafoil_y,0.0
sample_01_j03+j07+j10,21,5,5,pentafoil_x,0.0
