zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.053729518865899946,0.053729518865899946
3,1,-1,tilt_y,8.0,7.850337904780608,-0.14966209521939167
4,2,0,defocus,0.0,0.12687593648178638,0.12687593648178638
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,4.204767359354797,-1.795232640645203
8,3,1,coma_x,0.0,0.08200484278808173,0.08200484278808173
9,3,-3,trefoil_y,0.0,0.8903861926738611,0.8903861926738611
10,3,3,trefoil_x,10.0,7.298055456265511,-2.7019445437344887
11,4,0,spherical,0.0,0.33956567880960076,0.33956567880960076
12,4,-2,secondary_astig_45,0.0,-0.18404467491415244,-0.18404467491415244
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.21351236967752746,0.21351236967752746
15,4,4,quadrafoil_0,5.0,3.665686611023618,-1.334313388976382
16,5,-1,secondary_coma_y,0.0,-0.10803109549350301,-0.10803109549350301
17,5,1,secondary_coma_x,0.0,0.12436482648751954,0.12436482648751954
18,5,-3,secondary_trefoil_y,0.0,-0.10278340679832021,-0.10278340679832021
19,5,3,secondary_trefoil_x,0.0,-0.0649135320632766,-0.0649135320632766
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
