sample,zernike_j,n,m,name,coeff_rad
sample_02_j03+j07+j10+j15,2,1,1,tilt_x,0.053729518865899946
sample_02_j03+j07+j10+j15,3,1,-1,tilt_y,7.850337904780608
sample_02_j03+j07+j10+j15,4,2,0,defocus,0.12687593648178638
sample_02_j03+j07+j10+j15,5,2,-2,astig_45,0.0
sample_02_j03+j07+j10+j15,6,2,2,astig_0,0.0
sample_02_j03+j07+j10+j15,7,3,-1,coma_y,4.204767359354797
sample_02_j03+j07+j10+j15,8,3,1,coma_x,0.08200484278808173
sample_02_j03+j07+j10+j15,9,3,-3,trefoil_y,0.8903861926738611
sample_02_j03+j07+j10+j15,10,3,3,trefoil_x,7.298055456265511
sample_02_j03+j07+j10+j15,11,4,0,spherical,0.33956567880960076
sample_02_j03+j07+j10+j15,12,4,-2,secondary_astig_45,-0.18404467491415244
sample_02_j03+j07+j10+j15,13,4,2,secondary_astig_0,0.0
sample_02_j03+j07+j10+j15,14,4,-4,quadrafoil_45,0.21351236967752746
sample_02_j03+j07+j10+j15,15,4,4,quadrafoil_0,3.665686611023618
sample_02_j03+j07+j10+j15,16,5,-1,secondary_coma_y,-0.10803109549350301
sample_02_j03+j07+j10+j15,17,5,1,secondary_coma_x,0.12436482648751954
sample_02_j03+j07+j10+j15,18,5,-3,secondary_trefoil_y,-0.10278340679832021
sample_02_j03+j07+j10+j15,19,5,3,secondary_trefoil_x,-0.0649135320632766
sample_02_j03+j07+j10+j15,20,5,-5,pentafoil_y,0.0
sample_02_j03+j07+j10+j15,21,5,5,pentafoil_x,0.0
