zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.10036324718846526,0.10036324718846526
3,1,-1,tilt_y,8.0,7.727303519673496,-0.27269648032650373
4,2,0,defocus,0.0,0.17667413887998729,0.17667413887998729
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,4.177721045181867,-1.8222789548181328
8,3,1,coma_x,0.0,0.12491642969578917,0.12491642969578917
9,3,-3,trefoil_y,0.0,0.8193334853553129,0.8193334853553129
10,3,3,trefoil_x,10.0,7.314896239382533,-2.6851037606174666
11,4,0,spherical,0.0,0.4069035335051181,0.4069035335051181
12,4,-2,secondary_astig_45,0.0,-0.3120780041630925,-0.3120780041630925
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.2615173637092359,0.2615173637092359
15,4,4,quadrafoil_0,5.0,3.495834002067533,-1.5041659979324669
16,5,-1,secondary_coma_y,0.0,-0.11082486858605567,-0.11082486858605567
17,5,1,secondary_coma_x,0.0,0.1681819149467196,0.1681819149467196
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,4.0,2.6477153938316627,-1.3522846061683373
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
