sample,zernike_j,n,m,name,coeff_rad
sample_03_j03+j07+j10+j15+j19,2,1,1,tilt_x,0.10036324718846526
sample_03_j03+j07+j10+j15+j19,3,1,-1,tilt_y,7.727303519673496
sample_03_j03+j07+j10+j15+j19,4,2,0,defocus,0.17667413887998729
sample_03_j03+j07+j10+j15+j19,5,2,-2,astig_45,0.0
sample_03_j03+j07+j10+j15+j19,6,2,2,astig_0,0.0
sample_03_j03+j07+j10+j15+j19,7,3,-1,coma_y,4.177721045181867
sample_03_j03+j07+j10+j15+j19,8,3,1,coma_x,0.12491642969578917
sample_03_j03+j07+j10+j15+j19,9,3,-3,trefoil_y,0.8193334853553129
sample_03_j03+j07+j10+j15+j19,10,3,3,trefoil_x,7.314896239382533
sample_03_j03+j07+j10+j15+j19,11,4,0,spherical,0.4069035335051181
sample_03_j03+j07+j10+j15+j19,12,4,-2,secondary_astig_45,-0.3120780041630925
sample_03_j03+j07+j10+j15+j19,13,4,2,secondary_astig_0,0.0
sample_03_j03+j07+j10+j15+j19,14,4,-4,quadrafoil_45,0.2615173637092359
sample_03_j03+j07+j10+j15+j19,15,4,4,quadrafoil_0,3.495834002067533
sample_03_j03+j07+j10+j15+j19,16,5,-1,secondary_coma_y,-0.11082486858605567
sample_03_j03+j07+j10+j15+j19,17,5,1,secondary_coma_x,0.1681819149467196
sample_03_j03+j07+j10+j15+j19,18,5,-3,secondary_trefoil_y,0.0
sample_03_j03+j07+j10+j15+j19,19,5,3,secondary_trefoil_x,2.6477153938316627
sample_03_j03+j07+j10+j15+j19,20,5,-5,pentafoil_y,0.0
sample_03_j03+j07+j10+j15+j19,21,5,5,pentafoil_x,0.0
