sample,zernike_j,n,m,name,coeff_rad
sample_04_j03+j07+j08+j10+j15+j19,2,1,1,tilt_x,0.7199859048622729
sample_04_j03+j07+j08+j10+j15+j19,3,1,-1,tilt_y,7.800745917305176
sample_04_j03+j07+j08+j10+j15+j19,4,2,0,defocus,0.22613432380222975
sample_04_j03+j07+j08+j10+j15+j19,5,2,-2,astig_45,0.0
sample_04_j03+j07+j08+j10+j15+j19,6,2,2,astig_0,0.1835551494554144
sample_04_j03+j07+j08+j10+j15+j19,7,3,-1,coma_y,4.6159393672946365
sample_04_j03+j07+j08+j10+j15+j19,8,3,1,coma_x,9.623796599110879
sample_04_j03+j07+j08+j10+j15+j19,9,3,-3,trefoil_y,0.8050850593469726
sample_04_j03+j07+j08+j10+j15+j19,10,3,3,trefoil_x,8.32538690538683
sample_04_j03+j07+j08+j10+j15+j19,11,4,0,spherical,0.41472751300592015
sample_04_j03+j07+j08+j10+j15+j19,12,4,-2,secondary_astig_45,0.0
sample_04_j03+j07+j08+j10+j15+j19,13,4,2,secondary_astig_0,0.15735764258045548
sample_04_j03+j07+j08+j10+j15+j19,14,4,-4,quadrafoil_45,0.1015619828611232
sample_04_j03+j07+j08+j10+j15+j19,15,4,4,quadrafoil_0,3.833452365236727
sample_04_j03+j07+j08+j10+j15+j19,16,5,-1,secondary_coma_y,0.0
sample_04_j03+j07+j08+j10+j15+j19,17,5,1,secondary_coma_x,0.043366996846649394
sample_04_j03+j07+j08+j10+j15+j19,18,5,-3,secondary_trefoil_y,0.0
sample_04_j03+j07+j08+j10+j15+j19,19,5,3,secondary_trefoil_x,3.197515774863952
sample_04_j03+j07+j08+j10+j15+j19,20,5,-5,pentafoil_y,0.0
sample_04_j03+j07+j08+j10+j15+j19,21,5,5,pentafoil_x,0.0
