zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.7199859048622729,0.7199859048622729
3,1,-1,tilt_y,8.0,7.800745917305176,-0.19925408269482414
4,2,0,defocus,0.0,0.22613432380222975,0.22613432380222975
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.1835551494554144,0.1835551494554144
7,3,-1,coma_y,6.0,4.6159393672946365,-1.3840606327053635
8,3,1,coma_x,12.0,9.623796599110879,-2.3762034008891213
9,3,-3,trefoil_y,0.0,0.8050850593469726,0.8050850593469726
10,3,3,trefoil_x,10.0,8.32538690538683,-1.6746130946131697
11,4,0,spherical,0.0,0.41472751300592015,0.41472751300592015
12,4,-2,secondary_astig_45,0.0,0.0,0.0
13,4,2,secondary_astig_0,0.0,0.15735764258045548,0.15735764258045548
14,4,-4,quadrafoil_45,0.0,0.1015619828611232,0.1015619828611232
15,4,4,quadrafoil_0,5.0,3.833452365236727,-1.166547634763273
16,5,-1,secondary_coma_y,0.0,0.0,0.0
17,5,1,secondary_coma_x,0.0,0.043366996846649394,0.043366996846649394
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,4.0,3.197515774863952,-0.8024842251360478
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
