zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.8388590929535013,0.8388590929535013
3,1,-1,tilt_y,8.0,7.842651588022362,-0.1573484119776376
4,2,0,defocus,0.0,0.257230464964251,0.257230464964251
5,2,-2,astig_45,4.0,2.613293000123922,-1.3867069998760782
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,4.580833825883438,-1.4191661741165618
8,3,1,coma_x,12.0,9.675423618240993,-2.324576381759007
9,3,-3,trefoil_y,0.0,0.7214095414111452,0.7214095414111452
10,3,3,trefoil_x,10.0,8.275615534942657,-1.7243844650573426
11,4,0,spherical,0.0,0.4631624327104869,0.4631624327104869
12,4,-2,secondary_astig_45,0.0,-0.058465941489741165,-0.058465941489741165
13,4,2,secondary_astig_0,0.0,0.18785395078923314,0.18785395078923314
14,4,-4,quadrafoil_45,0.0,0.14599573847387706,0.14599573847387706
15,4,4,quadrafoil_0,5.0,3.8251874612962045,-1.1748125387037955
16,5,-1,secondary_coma_y,0.0,0.0,0.0
17,5,1,secondary_coma_x,0.0,0.16911236943033955,0.16911236943033955
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0
19,5,3,secondary_trefoil_x,4.0,3.093520090933053,-0.9064799090669471
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
