sample,zernike_j,n,m,name,coeff_rad
sample_05_j03+j05+j07+j08+j10+j15+j19,2,1,1,tilt_x,0.8388590929535013
sample_05_j03+j05+j07+j08+j10+j15+j19,3,1,-1,tilt_y,7.842651588022362
sample_05_j03+j05+j07+j08+j10+j15+j19,4,2,0,defocus,0.257230464964251
sample_05_j03+j05+j07+j08+j10+j15+j19,5,2,-2,astig_45,2.613293000123922
sample_05_j03+j05+j07+j08+j10+j15+j19,6,2,2,astig_0,0.0
sample_05_j03+j05+j07+j08+j10+j15+j19,7,3,-1,coma_y,4.580833825883438
sample_05_j03+j05+j07+j08+j10+j15+j19,8,3,1,coma_x,9.675423618240993
sample_05_j03+j05+j07+j08+j10+j15+j19,9,3,-3,trefoil_y,0.7214095414111452
sample_05_j03+j05+j07+j08+j10+j15+j19,10,3,3,trefoil_x,8.275615534942657
sample_05_j03+j05+j07+j08+j10+j15+j19,11,4,0,spherical,0.4631624327104869
sample_05_j03+j05+j07+j08+j10+j15+j19,12,4,-2,secondary_astig_45,-0.058465941489741165
sample_05_j03+j05+j07+j08+j10+j15+j19,13,4,2,secondary_astig_0,0.18785395078923314
sample_05_j03+j05+j07+j08+j10+j15+j19,14,4,-4,quadrafoil_45,0.14599573847387706
sample_05_j03+j05+j07+j08+j10+j15+j19,15,4,4,quadrafoil_0,3.8251874612962045
sample_05_j03+j05+j07+j08+j10+j15+j19,16,5,-1,secondary_coma_y,0.0
sample_05_j03+j05+j07+j08+j10+j15+j19,17,5,1,secondary_coma_x,0.16911236943033955
sample_05_j03+j05+j07+j08+j10+j15+j19,18,5,-3,secondary_trefoil_y,0.0
sample_05_j03+j05+j07+j08+j10+j15+j19,19,5,3,secondary_trefoil_x,3.093520090933053
sample_05_j03+j05+j07+j08+j10+j15+j19,20,5,-5,pentafoil_y,0.0
sample_05_j03+j05+j07+j08+j10+j15+j19,21,5,5,pentafoil_x,0.0
