sample,zernike_j,n,m,name,coeff_rad
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,2,1,1,tilt_x,0.4599958514878345
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,3,1,-1,tilt_y,7.266141139300113
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,4,2,0,defocus,0.29049903103236685
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,5,2,-2,astig_45,2.673241929722377
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,6,2,2,astig_0,0.0
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,7,3,-1,coma_y,4.2259106762036325
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,8,3,1,coma_x,9.370034633158532
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,9,3,-3,trefoil_y,0.5835839923812641
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,10,3,3,trefoil_x,7.061819818695038
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,11,4,0,spherical,0.5494403161750138
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,12,4,-2,secondary_astig_45,6.205690210387448
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,13,4,2,secondary_astig_0,0.0
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,14,4,-4,quadrafoil_45,0.8239471463462842
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,15,4,4,quadrafoil_0,3.141104537399993
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,16,5,-1,secondary_coma_y,-0.15252677188223815
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,17,5,1,secondary_coma_x,0.0
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,18,5,-3,secondary_trefoil_y,0.05836865343696687
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,19,5,3,secondary_trefoil_x,2.3098522468428553
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,20,5,-5,pentafoil_y,0.0
sample_06_j03+j05+j07+j08+j10+j12+j15+j19,21,5,5,pentafoil_x,0.0
