zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.4599958514878345,0.4599958514878345
3,1,-1,tilt_y,8.0,7.266141139300113,-0.733858860699887
4,2,0,defocus,0.0,0.29049903103236685,0.29049903103236685
5,2,-2,astig_45,4.0,2.673241929722377,-1.3267580702776232
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,4.2259106762036325,-1.7740893237963675
8,3,1,coma_x,12.0,9.370034633158532,-2.6299653668414678
9,3,-3,trefoil_y,0.0,0.5835839923812641,0.5835839923812641
10,3,3,trefoil_x,10.0,7.061819818695038,-2.938180181304962
11,4,0,spherical,0.0,0.5494403161750138,0.5494403161750138
12,4,-2,secondary_astig_45,9.0,6.205690210387448,-2.7943097896125524
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.8239471463462842,0.8239471463462842
15,4,4,quadrafoil_0,5.0,3.141104537399993,-1.8588954626000072
16,5,-1,secondary_coma_y,0.0,-0.15252677188223815,-0.15252677188223815
17,5,1,secondary_coma_x,0.0,0.0,0.0
18,5,-3,secondary_trefoil_y,0.0,0.05836865343696687,0.05836865343696687
19,5,3,secondary_trefoil_x,4.0,2.3098522468428553,-1.6901477531571447
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
