zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.9203996891948235,0.9203996891948235
3,1,-1,tilt_y,8.0,7.449362671913277,-0.5506373280867232
4,2,0,defocus,0.0,0.07692518848165462,0.07692518848165462
5,2,-2,astig_45,4.0,2.5190923583945035,-1.4809076416054965
6,2,2,astig_0,0.0,0.12186576762258212,0.12186576762258212
7,3,-1,coma_y,6.0,4.255903401627856,-1.7440965983721437
8,3,1,coma_x,12.0,9.801312501412074,-2.198687498587926
9,3,-3,trefoil_y,0.0,0.5495036176102698,0.5495036176102698
10,3,3,trefoil_x,10.0,7.983442581607068,-2.0165574183929316
11,4,0,spherical,0.0,0.23382884949473476,0.23382884949473476
12,4,-2,secondary_astig_45,9.0,5.804256067057177,-3.1957439329428228
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.06417163389918713,0.06417163389918713
15,4,4,quadrafoil_0,5.0,3.095555010093978,-1.9044449899060218
16,5,-1,secondary_coma_y,0.0,-0.0343572297748722,-0.0343572297748722
17,5,1,secondary_coma_x,7.0,4.947537679630207,-2.052462320369793
18,5,-3,secondary_trefoil_y,0.0,0.00414352283570156,0.00414352283570156
19,5,3,secondary_trefoil_x,4.0,2.9251423690390443,-1.0748576309609557
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
