sample,zernike_j,n,m,name,coeff_rad
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,2,1,1,tilt_x,0.9203996891948235
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,3,1,-1,tilt_y,7.449362671913277
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,4,2,0,defocus,0.07692518848165462
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,5,2,-2,astig_45,2.5190923583945035
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,6,2,2,astig_0,0.12186576762258212
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,7,3,-1,coma_y,4.255903401627856
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,8,3,1,coma_x,9.801312501412074
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,9,3,-3,trefoil_y,0.5495036176102698
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,10,3,3,trefoil_x,7.983442581607068
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,11,4,0,spherical,0.23382884949473476
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,12,4,-2,secondary_astig_45,5.804256067057177
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,13,4,2,secondary_astig_0,0.0
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,14,4,-4,quadrafoil_45,0.06417163389918713
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,15,4,4,quadrafoil_0,3.095555010093978
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,16,5,-1,secondary_coma_y,-0.0343572297748722
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,17,5,1,secondary_coma_x,4.947537679630207
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,18,5,-3,secondary_trefoil_y,0.00414352283570156
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,19,5,3,secondary_trefoil_x,2.9251423690390443
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,20,5,-5,pentafoil_y,0.0
sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19,21,5,5,pentafoil_x,0.0
