sample,zernike_j,n,m,name,coeff_rad
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,2,1,1,tilt_x,0.7576451669145292
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,3,1,-1,tilt_y,7.0236408836508835
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,4,2,0,defocus,0.09326083794529122
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,5,2,-2,astig_45,2.5128222452482363
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,6,2,2,astig_0,0.06685686161624582
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,7,3,-1,coma_y,3.8668990841520134
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,8,3,1,coma_x,9.674777150356324
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,9,3,-3,trefoil_y,0.897626484470349
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,10,3,3,trefoil_x,7.870788348455181
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,11,4,0,spherical,0.22181718194934325
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,12,4,-2,secondary_astig_45,5.80965692253878
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,13,4,2,secondary_astig_0,0.0
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,14,4,-4,quadrafoil_45,0.0803240477009931
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,15,4,4,quadrafoil_0,3.015322318712566
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,16,5,-1,secondary_coma_y,-0.2076991751969392
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,17,5,1,secondary_coma_x,4.9722347610441595
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,18,5,-3,secondary_trefoil_y,0.1913604754238164
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,19,5,3,secondary_trefoil_x,2.7078948564469707
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,20,5,-5,pentafoil_y,0.0
sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21,21,5,5,pentafoil_x,2.7266498840384146
