zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.7576451669145292,0.7576451669145292
3,1,-1,tilt_y,8.0,7.0236408836508835,-0.9763591163491165
4,2,0,defocus,0.0,0.09326083794529122,0.09326083794529122
5,2,-2,astig_45,4.0,2.5128222452482363,-1.4871777547517637
6,2,2,astig_0,0.0,0.06685686161624582,0.06685686161624582
7,3,-1,coma_y,6.0,3.8668990841520134,-2.1331009158479866
8,3,1,coma_x,12.0,9.674777150356324,-2.3252228496436764
9,3,-3,trefoil_y,0.0,0.897626484470349,0.897626484470349
10,3,3,trefoil_x,10.0,7.870788348455181,-2.1292116515448187
11,4,0,spherical,0.0,0.22181718194934325,0.22181718194934325
12,4,-2,secondary_astig_45,9.0,5.80965692253878,-3.19034307746122
13,4,2,secondary_astig_0,0.0,0.0,0.0
14,4,-4,quadrafoil_45,0.0,0.0803240477009931,0.0803240477009931
15,4,4,quadrafoil_0,5.0,3.015322318712566,-1.984677681287434
16,5,-1,secondary_coma_y,0.0,-0.2076991751969392,-0.2076991751969392
17,5,1,secondary_coma_x,7.0,4.9722347610441595,-2.0277652389558405
18,5,-3,secondary_trefoil_y,0.0,0.1913604754238164,0.1913604754238164
19,5,3,secondary_trefoil_x,4.0,2.7078948564469707,-1.2921051435530293
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,5.0,2.7266498840384146,-2.2733501159615854
