sample,zernike_j,n,m,name,coeff_rad
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,2,1,1,tilt_x,0.5976793034257784
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,3,1,-1,tilt_y,6.981614490446889
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,4,2,0,defocus,0.1454408303485128
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,5,2,-2,astig_45,2.1778678373624265
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,6,2,2,astig_0,0.0
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,7,3,-1,coma_y,3.4683141244633426
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,8,3,1,coma_x,9.28226225728038
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,9,3,-3,trefoil_y,0.2373347190330781
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,10,3,3,trefoil_x,7.544847308384806
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,11,4,0,spherical,0.02246033113696186
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,12,4,-2,secondary_astig_45,5.421371019540457
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,13,4,2,secondary_astig_0,3.3650467245369606
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,14,4,-4,quadrafoil_45,0.0
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,15,4,4,quadrafoil_0,3.419736674572351
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,16,5,-1,secondary_coma_y,-0.7742575505261344
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,17,5,1,secondary_coma_x,4.381940048299236
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,18,5,-3,secondary_trefoil_y,-0.018459363029671577
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,19,5,3,secondary_trefoil_x,2.707149848651546
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,20,5,-5,pentafoil_y,0.0
sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21,21,5,5,pentafoil_x,3.468994618291168
