zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.5976793034257784,0.5976793034257784
3,1,-1,tilt_y,8.0,6.981614490446889,-1.0183855095531111
4,2,0,defocus,0.0,0.1454408303485128,0.1454408303485128
5,2,-2,astig_45,4.0,2.1778678373624265,-1.8221321626375735
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,6.0,3.4683141244633426,-2.5316858755366574
8,3,1,coma_x,12.0,9.28226225728038,-2.7177377427196205
9,3,-3,trefoil_y,0.0,0.2373347190330781,0.2373347190330781
10,3,3,trefoil_x,10.0,7.544847308384806,-2.4551526916151936
11,4,0,spherical,0.0,0.02246033113696186,0.02246033113696186
12,4,-2,secondary_astig_45,9.0,5.421371019540457,-3.578628980459543
13,4,2,secondary_astig_0,5.0,3.3650467245369606,-1.6349532754630394
14,4,-4,quadrafoil_45,0.0,0.0,0.0
15,4,4,quadrafoil_0,5.0,3.419736674572351,-1.5802633254276488
16,5,-1,secondary_coma_y,0.0,-0.7742575505261344,-0.7742575505261344
17,5,1,secondary_coma_x,7.0,4.381940048299236,-2.618059951700764
18,5,-3,secondary_trefoil_y,0.0,-0.018459363029671577,-0.018459363029671577
19,5,3,secondary_trefoil_x,4.0,2.707149848651546,-1.2928501513484538
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,5.0,3.468994618291168,-1.531005381708832
